Theme,English,English meaning,Francais
"Vie quotidienne, culture et actualité",getaway,short holiday break; escape after a crime,escapade
"Vie quotidienne, culture et actualité",gig,single live performance by musicians,concert
"Vie quotidienne, culture et actualité",gist,essential meaning of what was said,"essentiel, substance"
"Vie quotidienne, culture et actualité",glazier,tradesperson who fits windows with glass,vitrier
"Vie quotidienne, culture et actualité",glen,"narrow valley, especially in Scotland",vallée encaissée
"Vie quotidienne, culture et actualité",global warming,long-term rise in the planet's temperature,réchauffement climatique
"Vie quotidienne, culture et actualité",globetrotter,person who travels widely around the world,globe-trotteur
"Vie quotidienne, culture et actualité",gluten-free,containing no wheat protein harmful to some,sans gluten
"Vie quotidienne, culture et actualité",glutton,person who habitually eats too much,"glouton, goinfre"
"Vie quotidienne, culture et actualité",gobble,eat hurriedly and greedily,engloutir
"Vie quotidienne, culture et actualité",gorge,deep narrow valley with steep sides,"gorge, défilé"
"Vie quotidienne, culture et actualité",gorse,spiny evergreen shrub with yellow flowers,ajonc
"Vie quotidienne, culture et actualité",gourmet,connoisseur of fine food and drink,"gastronome, fin gourmet"
"Vie quotidienne, culture et actualité",graduation,ceremony marking completion of a degree,remise des diplômes
"Vie quotidienne, culture et actualité",graffiti,unauthorised drawings or writing on public walls,"graffitis, tags"
"Vie quotidienne, culture et actualité",grant,sum of money given for a specific purpose,"subvention, bourse"
"Vie quotidienne, culture et actualité",grassland,open land covered mainly with wild grasses,"herbages, steppe"
"Vie quotidienne, culture et actualité",grassroots,ordinary people acting at the local level,base militante
"Vie quotidienne, culture et actualité",grater,kitchen tool for shredding food into strips,râpe
"Vie quotidienne, culture et actualité",gravel,small loose stones used for paths,gravier
"Vie quotidienne, culture et actualité",graze,to feed on growing pasture plants,"paître, brouter"
"Vie quotidienne, culture et actualité",green belt,protected undeveloped land surrounding a city,ceinture verte
"Vie quotidienne, culture et actualité",greenhouse gases,atmospheric emissions that trap the earth's heat,gaz à effet de serre
"Vie quotidienne, culture et actualité",groceries,food and household goods bought at shops,"provisions, courses"
"Vie quotidienne, culture et actualité",grooming,caring for personal appearance and cleanliness,"soins personnels, toilette"
"Vie quotidienne, culture et actualité",groundwater,water held underground in soil and rock,nappe phréatique
"Vie quotidienne, culture et actualité",grove,small group of trees growing together,bosquet
"Vie quotidienne, culture et actualité",guest of honour,most important invited person at an event,invité d'honneur
"Vie quotidienne, culture et actualité",guesthouse,small private lodging offering paid rooms,pension de famille
"Vie quotidienne, culture et actualité",guided tour,sightseeing visit led by an expert,visite guidée
"Vie quotidienne, culture et actualité",gulp,to swallow a large amount quickly,"lampée, grande gorgée"
"Vie quotidienne, culture et actualité",gust,sudden short rush of strong wind,rafale
"Vie quotidienne, culture et actualité",gutter,channel carrying rainwater away from roofs,"gouttière, caniveau"
"Vie quotidienne, culture et actualité",habitat,natural home environment of a species,habitat
"Vie quotidienne, culture et actualité",hailstone,small ball of ice falling from clouds,grêlon
"Vie quotidienne, culture et actualité",hailstorm,violent fall of frozen pellets from clouds,averse de grêle
"Vie quotidienne, culture et actualité",hair parting,line where combed locks divide on the head,raie
"Vie quotidienne, culture et actualité",hale and hearty,strong and in very good health,"en pleine forme, vigoureux"
"Vie quotidienne, culture et actualité",half board,accommodation including breakfast and evening meal,demi-pension
"Vie quotidienne, culture et actualité",hallway,passage inside a building connecting rooms,"couloir, vestibule"
"Vie quotidienne, culture et actualité",hand luggage,small bag carried into the cabin,bagage à main
"Vie quotidienne, culture et actualité",handbrake,lever holding a stopped vehicle still,frein à main
"Vie quotidienne, culture et actualité",hands-free,operated without needing to hold anything,mains libres
"Vie quotidienne, culture et actualité",handwriting,personal style of forming letters manually,écriture manuscrite
"Vie quotidienne, culture et actualité",hangover,unpleasant after-effects of drinking too much alcohol,gueule de bois
"Vie quotidienne, culture et actualité",harbour,sheltered coastal place where ships anchor,port
"Vie quotidienne, culture et actualité",hard of hearing,having partly reduced ability to detect sound,malentendant
"Vie quotidienne, culture et actualité",hard shoulder,emergency strip beside a motorway,bande d'arrêt d'urgence
"Vie quotidienne, culture et actualité",hardback,book bound with stiff rigid covers,livre relié
"Vie quotidienne, culture et actualité",hawker,person selling goods in the street,"colporteur, camelot"
"Vie quotidienne, culture et actualité",hazard lights,flashing signals warning of vehicle danger,feux de détresse
"Vie quotidienne, culture et actualité",haze,thin mist of dust or vapour,"brume légère, voile"
"Vie quotidienne, culture et actualité",headland,high land jutting out into the sea,"promontoire, cap"
"Vie quotidienne, culture et actualité",headlights,front lamps illuminating the road ahead,phares
"Vie quotidienne, culture et actualité",headteacher,person in charge of a school,"chef d'établissement, proviseur"
"Vie quotidienne, culture et actualité",hearing aid,small device amplifying sound for deaf people,appareil auditif
"Vie quotidienne, culture et actualité",heartburn,burning chest pain after eating,brûlures d'estomac
"Vie quotidienne, culture et actualité",hearth,floor area in front of a fireplace,"âtre, foyer"
"Vie quotidienne, culture et actualité",hearty meal,large satisfying and nourishing dish,repas copieux
"Vie quotidienne, culture et actualité",heather,low purple-flowered shrub of moorland,bruyère
"Vie quotidienne, culture et actualité",heatwave,prolonged period of unusually hot weather,"canicule, vague de chaleur"
"Vie quotidienne, culture et actualité",hedgerow,line of bushes bordering a field,haie champêtre
"Vie quotidienne, culture et actualité",heirloom,valuable object passed down through generations,objet de famille
"Vie quotidienne, culture et actualité",helm,steering position controlling a ship,barre
"Vie quotidienne, culture et actualité",helping,portion of food served to one person,"portion, part"
"Vie quotidienne, culture et actualité",herd,large group of grazing animals,"harde, troupeau"
"Vie quotidienne, culture et actualité",heredity,passing of traits from parents to offspring,hérédité
"Vie quotidienne, culture et actualité",hibernate,to sleep through winter in a dormant state,hiberner
"Vie quotidienne, culture et actualité",high tide,moment when sea level reaches its maximum,marée haute
"Vie quotidienne, culture et actualité",high-rise,very tall building with many storeys,"tour, immeuble de grande hauteur"
"Vie quotidienne, culture et actualité",highbrow,appealing to intellectual and cultured tastes,"intellectuel, élitiste"
"Vie quotidienne, culture et actualité",highway code,official rulebook for British road users,code de la route
"Vie quotidienne, culture et actualité",hinge,joint allowing a door to swing,"charnière, gond"
"Vie quotidienne, culture et actualité",hitchhike,to travel by asking drivers for free lifts,faire de l'auto-stop
"Vie quotidienne, culture et actualité",hitchhiker,person requesting free lifts from passing drivers,auto-stoppeur
"Vie quotidienne, culture et actualité",hive,structure housing a colony of bees,ruche
"Vie quotidienne, culture et actualité",hold luggage,bags stored in an aircraft's cargo area,bagage en soute
"Vie quotidienne, culture et actualité",homelessness,state of having nowhere to live,sans-abrisme
"Vie quotidienne, culture et actualité",homely,"simple, comfortable and pleasantly domestic","accueillant, chaleureux"
"Vie quotidienne, culture et actualité",homestay,stay as paying guest with a local family,séjour chez l'habitant
"Vie quotidienne, culture et actualité",homestead,farmhouse together with its surrounding land,"ferme, propriété familiale"
"Vie quotidienne, culture et actualité",hoof,hard foot covering of horses and cattle,sabot
"Vie quotidienne, culture et actualité",horn,device sounding a warning signal on vehicles,klaxon
"Vie quotidienne, culture et actualité",host,person who receives and entertains guests,hôte
"Vie quotidienne, culture et actualité",housewarming,party celebrating a move into new accommodation,pendaison de crémaillère
"Vie quotidienne, culture et actualité",housing estate,group of similar dwellings built together,"lotissement, cité"
"Vie quotidienne, culture et actualité",hue,particular shade or tint of colour,"teinte, nuance"
"Vie quotidienne, culture et actualité",hum,low continuous sound made with closed lips,"bourdonnement, ronronnement"
"Vie quotidienne, culture et actualité",humidity,amount of moisture present in air,"taux d'humidité, humidité"
"Vie quotidienne, culture et actualité",hung parliament,legislature where no party holds a majority,parlement sans majorité
"Vie quotidienne, culture et actualité",husk,dry outer covering of a seed,"enveloppe, balle"
"Vie quotidienne, culture et actualité",hustle and bustle,noisy energetic activity of crowded places,"effervescence, tohu-bohu"
"Vie quotidienne, culture et actualité",hygiene,practices keeping people clean and healthy,hygiène
"Vie quotidienne, culture et actualité",icing,sweet sugar coating spread on cakes,glaçage
"Vie quotidienne, culture et actualité",in-laws,relatives acquired through one's marriage,"belle-famille, beaux-parents"
"Vie quotidienne, culture et actualité",indicator,flashing lamp showing a vehicle's intended turn,clignotant
"Vie quotidienne, culture et actualité",indigestion,discomfort caused by difficulty digesting food,indigestion
"Vie quotidienne, culture et actualité",infusion,drink made by steeping herbs in water,"tisane, infusion"
"Vie quotidienne, culture et actualité",inlet,narrow arm of sea reaching inland,bras de mer
"Vie quotidienne, culture et actualité",inn,small country pub offering rooms,auberge
"Vie quotidienne, culture et actualité",inpatient,someone staying overnight in hospital for treatment,patient hospitalisé
"Vie quotidienne, culture et actualité",insomnia,persistent inability to fall or stay asleep,insomnie
"Vie quotidienne, culture et actualité",insulation,material preventing loss of heat or sound,isolation
"Vie quotidienne, culture et actualité",interval,short break between parts of a performance,entracte
"Vie quotidienne, culture et actualité",invigilator,person supervising candidates during an examination,surveillant d'examen
"Vie quotidienne, culture et actualité",itch,irritating skin sensation prompting scratching,démangeaison
"Vie quotidienne, culture et actualité",itchy,causing an urge to scratch,qui démange
"Vie quotidienne, culture et actualité",itinerary,planned route and schedule of a trip,itinéraire
"Vie quotidienne, culture et actualité",ivy,climbing evergreen plant covering walls,lierre
"Vie quotidienne, culture et actualité",jab,quick injection of vaccine or medicine,"piqûre, vaccin"
"Vie quotidienne, culture et actualité",janitor,person who cleans and maintains a building,"agent d'entretien, concierge"
"Vie quotidienne, culture et actualité",jaunt,short pleasure trip or excursion,"virée, balade"
"Vie quotidienne, culture et actualité",jaywalking,crossing a road unlawfully or carelessly,traversée imprudente
"Vie quotidienne, culture et actualité",jet lag,tiredness after flying across time zones,décalage horaire
"Vie quotidienne, culture et actualité",journey,act of travelling from one place to another,"trajet, voyage"
"Vie quotidienne, culture et actualité",junction,point where roads or railways meet,"échangeur, carrefour"
"Vie quotidienne, culture et actualité",jury service,citizen's duty of judging a court case,fonction de juré
"Vie quotidienne, culture et actualité",keepsake,small object kept to remember someone,souvenir
"Vie quotidienne, culture et actualité",kerb,raised stone edge of a pavement,bordure du trottoir
"Vie quotidienne, culture et actualité",kernel,inner edible part of a nut,"amande, grain"
"Vie quotidienne, culture et actualité",kettle,container for boiling water for drinks,bouilloire
"Vie quotidienne, culture et actualité",knead,to press and fold dough repeatedly,pétrir
"Vie quotidienne, culture et actualité",knick-knack,small cheap decorative household object,"babiole, bibelot"
"Vie quotidienne, culture et actualité",ladle,deep long-handled spoon for serving soup,louche
"Vie quotidienne, culture et actualité",lair,wild animal's hidden resting place,"antre, repaire"
"Vie quotidienne, culture et actualité",lamppost,tall post supporting a street light,lampadaire
"Vie quotidienne, culture et actualité",landfill,site where rubbish is buried underground,"décharge, enfouissement"
"Vie quotidienne, culture et actualité",landing,flat area at the top of stairs,"palier, atterrissage"
"Vie quotidienne, culture et actualité",landmark,prominent feature used to recognise a place,"monument, point de repère"
"Vie quotidienne, culture et actualité",landscape painting,artwork depicting natural countryside scenery,peinture de paysage
"Vie quotidienne, culture et actualité",landslide victory,election win by an overwhelming margin,victoire écrasante
"Vie quotidienne, culture et actualité",lane,"narrow road, or marked strip of carriageway","voie, chemin"
"Vie quotidienne, culture et actualité",lanky,"tall, thin and awkwardly built",dégingandé
"Vie quotidienne, culture et actualité",larder,cool room for storing food supplies,garde-manger
"Vie quotidienne, culture et actualité",latch,simple fastening bar for a door,loquet
"Vie quotidienne, culture et actualité",laundry,"clothes needing washing, or the washing process","lessive, linge"
"Vie quotidienne, culture et actualité",law-abiding,obeying rules and never committing crimes,respectueux des lois
"Vie quotidienne, culture et actualité",lay-by,paved area beside a road for stopping,aire de stationnement
"Vie quotidienne, culture et actualité",layover,short break between connecting flights,"correspondance, escale"
"Vie quotidienne, culture et actualité",laze around,to relax idly doing very little,"paresser, lézarder"
"Vie quotidienne, culture et actualité",leading role,principal acting part in a production,"rôle principal, premier rôle"
"Vie quotidienne, culture et actualité",league table,ranked list comparing performance of institutions,"palmarès, classement"
"Vie quotidienne, culture et actualité",leak,unintended escape of liquid or gas,fuite
"Vie quotidienne, culture et actualité",learner driver,person still training to operate a car,apprenti conducteur
"Vie quotidienne, culture et actualité",lecture hall,large room for university teaching talks,amphithéâtre
"Vie quotidienne, culture et actualité",lecturer,person who teaches at a university,"maître de conférences, chargé de cours"
"Vie quotidienne, culture et actualité",leftovers,uneaten food remaining after a meal,restes
"Vie quotidienne, culture et actualité",leisure,free time available for enjoyment,"loisirs, temps libre"
"Vie quotidienne, culture et actualité",level crossing,place where road and railway intersect,passage à niveau
"Vie quotidienne, culture et actualité",librarian,person managing a collection of books,bibliothécaire
"Vie quotidienne, culture et actualité",lichen,crusty growth of fungus on rocks,lichen
"Vie quotidienne, culture et actualité",light-headed,"feeling faint, dizzy and unsteady",étourdi
"Vie quotidienne, culture et actualité",lightning bolt,sudden electrical flash during a storm,"éclair, foudre"
"Vie quotidienne, culture et actualité",limber up,to stretch gently before physical exertion,s'échauffer
"Vie quotidienne, culture et actualité",limelight,focus of public attention and fame,feux de la rampe
"Vie quotidienne, culture et actualité",linen,cloth made from flax fibres,linge de maison
"Vie quotidienne, culture et actualité",listed building,structure legally protected for historic value,monument classé
"Vie quotidienne, culture et actualité",literacy,ability to read and write,alphabétisation
"Vie quotidienne, culture et actualité",literary prize,award given for outstanding writing,prix littéraire
"Vie quotidienne, culture et actualité",litter,rubbish carelessly dropped in public places,"détritus, déchets"
"Vie quotidienne, culture et actualité",litter bin,public container for discarded rubbish,poubelle publique
"Vie quotidienne, culture et actualité",livelihood,means of earning enough to live,"gagne-pain, moyens de subsistance"
"Vie quotidienne, culture et actualité",loaf,shaped mass of baked bread,"miche, pain"
"Vie quotidienne, culture et actualité",loam,rich fertile soil of balanced texture,terreau
"Vie quotidienne, culture et actualité",locally sourced,obtained from producers near the point of sale,en circuit court
"Vie quotidienne, culture et actualité",locksmith,craftsman who makes and repairs locks,serrurier
"Vie quotidienne, culture et actualité",lodger,person renting a room in someone's home,"pensionnaire, sous-locataire"
"Vie quotidienne, culture et actualité",lodgings,rented rooms in another person's house,"logis, chambre meublée"
"Vie quotidienne, culture et actualité",long-sighted,able to see distant objects more clearly,hypermétrope
"Vie quotidienne, culture et actualité",low tide,moment when sea level reaches its minimum,marée basse
"Vie quotidienne, culture et actualité",lowbrow,appealing to unsophisticated popular tastes,"grand public, populaire"
"Vie quotidienne, culture et actualité",luggage rack,shelf for storing bags while travelling,porte-bagages
"Vie quotidienne, culture et actualité",luscious,richly sweet and delicious to taste,"exquis, délicieux"
"Vie quotidienne, culture et actualité",lyrics,words written to be sung,paroles
"Vie quotidienne, culture et actualité",magnifying glass,lens making small objects appear larger,loupe
"Vie quotidienne, culture et actualité",main course,principal dish of a meal,"plat principal, plat de résistance"
"Vie quotidienne, culture et actualité",mains,"public supply of electricity, gas or water","secteur, réseau électrique"
"Vie quotidienne, culture et actualité",makeover,complete change of appearance or style,"transformation, relooking"
"Vie quotidienne, culture et actualité",malfunction,failure of equipment to work properly,"dysfonctionnement, défaillance"
"Vie quotidienne, culture et actualité",mane,long hair on a horse's neck,crinière
"Vie quotidienne, culture et actualité",manhole,covered opening giving access to sewers,"regard, bouche d'égout"
"Vie quotidienne, culture et actualité",mantelpiece,shelf above a fireplace opening,"manteau de cheminée, tablette de cheminée"
"Vie quotidienne, culture et actualité",marina,dock where pleasure boats are moored,port de plaisance
"Vie quotidienne, culture et actualité",marinate,to soak food in seasoned liquid,faire mariner
"Vie quotidienne, culture et actualité",market stall,temporary booth selling goods outdoors,"étal, stand"
"Vie quotidienne, culture et actualité",marking,teacher's assessment and correction of written work,"correction, notation"
"Vie quotidienne, culture et actualité",marsh,low waterlogged ground with soft soil,marais
"Vie quotidienne, culture et actualité",masterpiece,outstanding supreme work by an artist,chef-d'œuvre
"Vie quotidienne, culture et actualité",matinee,afternoon showing of a play or film,séance en matinée
"Vie quotidienne, culture et actualité",mattress,padded layer supporting a sleeping body,matelas
"Vie quotidienne, culture et actualité",mayor,elected head of a town's council,maire
"Vie quotidienne, culture et actualité",meadow,field of grass and wild flowers,"prairie, pré"
"Vie quotidienne, culture et actualité",means-tested,granted only to those with low income,sous conditions de ressources
"Vie quotidienne, culture et actualité",measurement,"size, length or amount determined numerically",mesure
"Vie quotidienne, culture et actualité",medical condition,ongoing illness or health problem,"pathologie, affection"
"Vie quotidienne, culture et actualité",memoir,autobiographical account of personal experiences,mémoires
"Vie quotidienne, culture et actualité",merry-go-round,revolving fairground ride with model horses,manège
"Vie quotidienne, culture et actualité",metabolism,chemical processes converting food into energy,métabolisme
"Vie quotidienne, culture et actualité",meteorologist,scientist who studies and forecasts weather,météorologue
"Vie quotidienne, culture et actualité",metropolis,very large and important city,métropole
"Vie quotidienne, culture et actualité",microbe,microscopic living organism such as bacteria,microbe
"Vie quotidienne, culture et actualité",middle age,period roughly between forty and sixty,âge mûr
"Vie quotidienne, culture et actualité",midwife,nurse trained to assist at births,sage-femme
"Vie quotidienne, culture et actualité",migrate,to move seasonally to another region,migrer
"Vie quotidienne, culture et actualité",mileage,distance travelled measured in miles,kilométrage
"Vie quotidienne, culture et actualité",mince,"finely chopped meat, or to chop finely",hacher
"Vie quotidienne, culture et actualité",misdemeanour,minor offence or slight wrongdoing,"délit mineur, écart de conduite"
"Vie quotidienne, culture et actualité",mist,thin cloud of water droplets near ground,brume
"Vie quotidienne, culture et actualité",mistletoe,evergreen plant with white berries used at Christmas,gui
"Vie quotidienne, culture et actualité",mock exam,practice test taken before the real one,examen blanc
"Vie quotidienne, culture et actualité",moor,open uncultivated upland covered with heather,lande
"Vie quotidienne, culture et actualité",moss,small soft green plant growing in damp places,mousse
"Vie quotidienne, culture et actualité",motorway,major high-speed road for fast traffic,autoroute
"Vie quotidienne, culture et actualité",mould,furry fungus growing on damp material,moisissure
"Vie quotidienne, culture et actualité",moult,"to shed feathers, fur or skin",muer
"Vie quotidienne, culture et actualité",mouth-watering,smelling or looking deliciously appetising,alléchant
"Vie quotidienne, culture et actualité",mouthful,amount of food taken in one bite,bouchée
"Vie quotidienne, culture et actualité",muffled,deadened and unclear in sound,"étouffé, assourdi"
"Vie quotidienne, culture et actualité",muggy,unpleasantly warm and humid,"lourd, moite"
"Vie quotidienne, culture et actualité",munch,to chew food noisily and steadily,"croquer, mastiquer"
"Vie quotidienne, culture et actualité",municipality,town or district with local self-government,"commune, municipalité"
"Vie quotidienne, culture et actualité",muscle strain,injury caused by overstretching body tissue,"élongation, claquage"
"Vie quotidienne, culture et actualité",nap,short sleep taken during the day,"sieste, somme"
"Vie quotidienne, culture et actualité",napkin,cloth or paper for wiping the mouth,serviette de table
"Vie quotidienne, culture et actualité",narrator,person telling a story to an audience,narrateur
"Vie quotidienne, culture et actualité",naturalisation,process of granting citizenship to a foreigner,naturalisation
"Vie quotidienne, culture et actualité",nausea,sick feeling with an urge to vomit,nausée
"Vie quotidienne, culture et actualité",nesting,building a shelter for raising young,nidification
"Vie quotidienne, culture et actualité",nettle,wild plant whose leaves sting the skin,ortie
"Vie quotidienne, culture et actualité",newsagent,"shop selling papers, sweets and magazines",marchand de journaux
"Vie quotidienne, culture et actualité",newsreader,person presenting bulletins on television,présentateur du journal
"Vie quotidienne, culture et actualité",newsstand,street kiosk selling papers and magazines,kiosque à journaux
"Vie quotidienne, culture et actualité",newsworthy,interesting enough to be reported publicly,digne d'être rapporté
"Vie quotidienne, culture et actualité",nibble,to take small delicate bites,grignoter
"Vie quotidienne, culture et actualité",nibbles,small snacks served with drinks,amuse-gueules
"Vie quotidienne, culture et actualité",nightcap,alcoholic drink taken before going to bed,dernier verre
"Vie quotidienne, culture et actualité",nightfall,time when darkness begins to arrive,tombée de la nuit
"Vie quotidienne, culture et actualité",nourishing,providing substances needed for health and growth,"nutritif, nourrissant"
"Vie quotidienne, culture et actualité",novella,short work of prose fiction,"court roman, nouvelle"
"Vie quotidienne, culture et actualité",number plate,registration sign fixed to a vehicle,plaque d'immatriculation
"Vie quotidienne, culture et actualité",numbness,loss of feeling in part of the body,engourdissement
"Vie quotidienne, culture et actualité",numeracy,ability to understand and work with figures,compétences en calcul
"Vie quotidienne, culture et actualité",nursery school,place educating very young children,école maternelle
"Vie quotidienne, culture et actualité",odometer,instrument recording distance a vehicle travels,compteur kilométrique
"Vie quotidienne, culture et actualité",off the beaten track,far from usual tourist routes,hors des sentiers battus
"Vie quotidienne, culture et actualité",offence,act that breaks the law,"infraction, délit"
"Vie quotidienne, culture et actualité",ointment,smooth medicated cream rubbed on skin,"pommade, onguent"
"Vie quotidienne, culture et actualité",old age,later stage of a person's life,vieillesse
"Vie quotidienne, culture et actualité",one-way street,road where traffic moves in a single direction,rue à sens unique
"Vie quotidienne, culture et actualité",op-ed,newspaper article expressing a personal opinion,tribune
"Vie quotidienne, culture et actualité",optician,professional testing eyes and supplying glasses,opticien
"Vie quotidienne, culture et actualité",organic produce,crops grown without synthetic chemicals,produits biologiques
"Vie quotidienne, culture et actualité",ornament,small decorative object for display,"bibelot, ornement"
"Vie quotidienne, culture et actualité",outbuilding,separate structure standing near a main house,dépendance
"Vie quotidienne, culture et actualité",outdated,no longer current or in fashion,"démodé, périmé"
"Vie quotidienne, culture et actualité",outfit,complete set of clothes worn together,"ensemble, tenue"
"Vie quotidienne, culture et actualité",outing,short trip made for pleasure,"sortie, excursion"
"Vie quotidienne, culture et actualité",outlet,"retail shop, or point where something escapes","média, débouché"
"Vie quotidienne, culture et actualité",outline,brief summary of the main points,"plan, canevas"
"Vie quotidienne, culture et actualité",outpatient,person treated at hospital without staying overnight,patient ambulatoire
"Vie quotidienne, culture et actualité",outskirts,areas on the edge of a town,"périphérie, banlieue"
"Vie quotidienne, culture et actualité",overcast,covered with grey cloud throughout,"couvert, nuageux"
"Vie quotidienne, culture et actualité",overhead locker,storage compartment above aircraft seats,compartiment à bagages
"Vie quotidienne, culture et actualité",overpass,bridge carrying one road above another,pont routier
"Vie quotidienne, culture et actualité",overripe,too mature and beginning to spoil,"blet, trop mûr"
"Vie quotidienne, culture et actualité",package holiday,trip with travel and lodging sold together,voyage organisé
"Vie quotidienne, culture et actualité",page-turner,book so gripping it cannot be set down,livre captivant
"Vie quotidienne, culture et actualité",pageant,elaborate public parade or historical display,"grand spectacle, parade"
"Vie quotidienne, culture et actualité",painkiller,medicine that relieves physical discomfort,"antalgique, analgésique"
"Vie quotidienne, culture et actualité",palate,"sense of taste, or roof of the mouth",palais
"Vie quotidienne, culture et actualité",palette,range of colours used by an artist,palette
"Vie quotidienne, culture et actualité",pang,sudden sharp feeling of pain or emotion,"serrement, douleur vive"
"Vie quotidienne, culture et actualité",pantry,small cupboard or room storing food,"garde-manger, cellier"
"Vie quotidienne, culture et actualité",paperback,book bound in flexible card covers,livre de poche
"Vie quotidienne, culture et actualité",parents' evening,school meeting to discuss pupils' progress,réunion parents-professeurs
"Vie quotidienne, culture et actualité",parking meter,coin device charging for roadside vehicle space,parcmètre
"Vie quotidienne, culture et actualité",partisan,strongly biased towards one party or cause,partisan
"Vie quotidienne, culture et actualité",passer-by,person walking past by chance,passant
"Vie quotidienne, culture et actualité",passport control,border checkpoint verifying travel documents,contrôle des passeports
"Vie quotidienne, culture et actualité",pastime,activity done regularly for enjoyment,passe-temps
"Vie quotidienne, culture et actualité",pastry,dough of flour and fat for pies,"pâte, viennoiserie"
"Vie quotidienne, culture et actualité",pasture,grassy land where livestock feed,pâturage
"Vie quotidienne, culture et actualité",patron,person giving financial support to the arts,mécène
"Vie quotidienne, culture et actualité",patronage,financial backing given to artists or causes,mécénat
"Vie quotidienne, culture et actualité",pavement,paved footpath beside a road,trottoir
"Vie quotidienne, culture et actualité",pebble,small smooth rounded stone,galet
"Vie quotidienne, culture et actualité",peckish,slightly hungry and wanting a snack,légèrement affamé
"Vie quotidienne, culture et actualité",peel,to remove the outer skin of fruit,"épluchure, pelure"
"Vie quotidienne, culture et actualité",periodical,magazine published at regular intervals,"périodique, revue"
"Vie quotidienne, culture et actualité",perishable,likely to rot or decay quickly,périssable
"Vie quotidienne, culture et actualité",pesticide,chemical used to kill crop-damaging insects,pesticide
"Vie quotidienne, culture et actualité",petrol station,place where drivers buy fuel,station-service
"Vie quotidienne, culture et actualité",petty crime,minor unlawful act of little seriousness,petite délinquance
"Vie quotidienne, culture et actualité",philistine,person hostile or indifferent to culture,"béotien, philistin"
"Vie quotidienne, culture et actualité",physiotherapist,specialist treating injury through exercise and massage,kinésithérapeute
"Vie quotidienne, culture et actualité",physiotherapy,treatment of injury by movement and massage,kinésithérapie
"Vie quotidienne, culture et actualité",pickpocketing,stealing from people's pockets or bags,vol à la tire
"Vie quotidienne, culture et actualité",pile-up,road accident involving several vehicles crashing,carambolage
"Vie quotidienne, culture et actualité",pinch of salt,tiny amount held between finger and thumb,pincée de sel
"Vie quotidienne, culture et actualité",pip,small hard seed inside a fruit,pépin
"Vie quotidienne, culture et actualité",placebo,dummy treatment given in medical trials,placebo
"Vie quotidienne, culture et actualité",placemat,protective covering set under a diner's plate,set de table
"Vie quotidienne, culture et actualité",plait,length of hair woven into three strands,"tresse, natte"
"Vie quotidienne, culture et actualité",planned obsolescence,deliberately designing products to fail early,obsolescence programmée
"Vie quotidienne, culture et actualité",plaster cast,hard casing supporting a broken bone,plâtre
"Vie quotidienne, culture et actualité",plateau,area of level ground at high altitude,plateau
"Vie quotidienne, culture et actualité",platform,raised area where passengers board trains,quai de gare
"Vie quotidienne, culture et actualité",play truant,to stay away from school without permission,"faire l'école buissonnière, sécher les cours"
"Vie quotidienne, culture et actualité",playground,outdoor area where children play,cour de récréation
"Vie quotidienne, culture et actualité",playwright,author who writes works for theatre,dramaturge
"Vie quotidienne, culture et actualité",plinth,heavy base supporting a statue or column,"socle, piédestal"
"Vie quotidienne, culture et actualité",plot twist,unexpected turn in a story's development,"coup de théâtre, retournement"
"Vie quotidienne, culture et actualité",plug,fitting connecting a device to electricity,"fiche, prise"
"Vie quotidienne, culture et actualité",plumage,full covering of feathers on birds,plumage
"Vie quotidienne, culture et actualité",plumber,tradesperson installing and repairing water pipes,plombier
"Vie quotidienne, culture et actualité",plumbing,system of pipes carrying water in buildings,"plomberie, tuyauterie"
"Vie quotidienne, culture et actualité",plump,pleasantly rounded and slightly fat,"dodu, rondelet"
"Vie quotidienne, culture et actualité",pod,long seed case of peas and beans,"gousse, cosse"
"Vie quotidienne, culture et actualité",policy-making,process of deciding official courses of action,élaboration des politiques
"Vie quotidienne, culture et actualité",polling day,date on which an election is held,jour du scrutin
"Vie quotidienne, culture et actualité",polling station,place where voters cast their ballots,bureau de vote
"Vie quotidienne, culture et actualité",pollutant,harmful substance released into the environment,polluant
"Vie quotidienne, culture et actualité",pond,small area of still water,"étang, mare"
"Vie quotidienne, culture et actualité",poppy,red wild flower symbolising remembrance,coquelicot
"Vie quotidienne, culture et actualité",porch,covered entrance area outside a door,porche
"Vie quotidienne, culture et actualité",postgraduate,student studying after a first degree,étudiant de troisième cycle
"Vie quotidienne, culture et actualité",posture,way a person holds their body,"posture, maintien"
"Vie quotidienne, culture et actualité",potter about,to do small unhurried tasks aimlessly,vaquer à ses occupations
"Vie quotidienne, culture et actualité",pottery,objects shaped from fired clay,poterie
"Vie quotidienne, culture et actualité",power cut,temporary interruption of electricity supply,coupure de courant
"Vie quotidienne, culture et actualité",power surge,sudden damaging rise in electrical voltage,surtension
"Vie quotidienne, culture et actualité",precinct,"pedestrian shopping area, or district around something","secteur, circonscription"
"Vie quotidienne, culture et actualité",precision,exactness and accuracy in fine detail,précision
"Vie quotidienne, culture et actualité",predator,animal that hunts and eats others,prédateur
"Vie quotidienne, culture et actualité",premiere,first public showing of a film,"première, avant-première"
"Vie quotidienne, culture et actualité",prescription,doctor's written order for medicine,ordonnance
"Vie quotidienne, culture et actualité",preservative,substance added to stop food spoiling,conservateur
